iteration,F
1,-218495.3955901259
2,-218171.91206823895
3,-217789.61308951606
4,-217248.25767609707
5,-216394.87188891097
6,-215009.06057517644
7,-212857.40853257748
8,-209863.99661616652
9,-206267.6118490247
10,-202483.8149075619
11,-198827.46184465554
12,-195474.9604305477
13,-192535.642461292
14,-190057.7725051011
15,-188033.3680364842
16,-186416.49440502888
17,-185140.17262141532
18,-184133.6629271627
19,-183332.65312945202
20,-182684.0423897663
21,-182146.39538651425
22,-181689.47017511263
23,-181294.02489048615
24,-180948.51989729333
25,-180645.65725598115
26,-180381.08814448188
27,-180151.6945369585
28,-179954.56258786234
29,-179785.78878448353
30,-179640.2084097243
31,-179512.71666105668
32,-179399.282066728
33,-179296.9538619081
34,-179203.59062251606
35,-179117.56526110577
36,-179037.62615567158
37,-178962.9293226373
38,-178892.8805811119
39,-178826.84580362137
40,-178764.14779780945
41,-178704.22413328433
42,-178646.74865826758
43,-178591.6157522641
44,-178538.823032052
45,-178488.38328506373
46,-178440.38036950398
47,-178395.0492873716
48,-178352.64909750785
49,-178313.23232481146
50,-178276.53232190394
51,-178242.06463900555
52,-178209.4661681491
53,-178178.62665787744
54,-178149.43026667234
55,-178121.72423510774
56,-178095.42187586913
57,-178070.52114492218
58,-178047.02977373757
59,-178024.89207442405
60,-178004.00301113244
61,-177984.23095176232
62,-177965.4107072975
63,-177947.38624520946
64,-177930.0672644574
65,-177913.43992571265
66,-177897.53473644966
67,-177882.35259250307
68,-177867.81819596517
69,-177853.83934780656
70,-177840.3618748822
71,-177827.35885211668
72,-177814.78943386424
73,-177802.58147898153
74,-177790.6609245875
75,-177778.95405406423
76,-177767.34718742245
77,-177755.76233696632
78,-177744.1927386587
79,-177732.69704922772
80,-177721.46548181976
81,-177710.7256515213
82,-177700.60573016765
83,-177691.122868493
84,-177682.22248245752
85,-177673.80273027287
86,-177665.74338093205
87,-177657.96673399865
88,-177650.44628916605
89,-177643.17341483734
90,-177636.1455556084
91,-177629.34216908706
92,-177622.67921078976
93,-177616.0486174226
94,-177609.44657666885
95,-177603.011087076
96,-177596.90019761492
97,-177591.17743724302
98,-177585.80972608778
99,-177580.71918098145
100,-177575.8234101379
101,-177571.0502767247
102,-177566.33945127862
103,-177561.64566763866
104,-177556.94620064952
105,-177552.2429146353
106,-177547.5517558805
107,-177542.8905493435
108,-177538.27796031002
109,-177533.7402127123
110,-177529.31305289906
111,-177525.03080636283
112,-177520.91108356675
113,-177516.95353844023
114,-177513.15007138762
115,-177509.48746481934
116,-177505.94745533078
117,-177502.50761539943
118,-177499.14199296336
119,-177495.82313342157
120,-177492.524007778
121,-177489.2178489057
122,-177485.87595044356
123,-177482.46469698157
124,-177478.94574692164
125,-177475.28625251976
126,-177471.48073008642
127,-177467.57029194172
128,-177463.6381665758
129,-177459.77878187693
130,-177456.06310564748
131,-177452.5228212762
132,-177449.15389824676
133,-177445.9285554078
134,-177442.8081910511
135,-177439.7546676245
136,-177436.74194228015
137,-177433.75986734437
138,-177430.8105740003
139,-177427.90499358755
140,-177425.06012695993
141,-177422.29023034906
142,-177419.5951196542
143,-177416.9582642494
144,-177414.35641205814
145,-177411.7741176009
146,-177409.21494928704
147,-177406.69977478278
148,-177404.24967431868
149,-177401.87332505212
150,-177399.57041964296
151,-177397.3361463836
152,-177395.16122321153
153,-177393.03132028398
154,-177390.92424276608
155,-177388.80710077044
156,-177386.6391642274
157,-177384.37738712842
158,-177381.98251836663
159,-177379.43309507612
160,-177376.74373685598
161,-177373.9660477183
162,-177371.16737694
163,-177368.41457277554
164,-177365.77329896795
165,-177363.29297575276
166,-177360.97966512234
167,-177358.8001304198
168,-177356.7126202525
169,-177354.68871609523
170,-177352.7140034356
171,-177350.78075510738
172,-177348.8833694929
173,-177347.01586433832
174,-177345.17011485208
175,-177343.3347788181
176,-177341.49539481726
177,-177339.6367737331
178,-177337.74849624245
179,-177335.83225447254
180,-177333.9068747921
181,-177332.0061990654
182,-177330.16897643465
183,-177328.42596119965
184,-177326.79159994866
185,-177325.2638154273
186,-177323.82953393602
187,-177322.47116670362
188,-177321.17129814206
189,-177319.91538148024
190,-177318.69181573222
191,-177317.48923412742
192,-177316.29366671052
193,-177315.08522020554
194,-177313.8304257918
195,-177312.47104778214
196,-177310.9237417556
197,-177309.08636243036
198,-177306.846644591
199,-177304.18246554333
200,-177301.29321579277
